+-----+------+-------+-----+------+--------+----------+---------------+
| id  | year | month | day | hour | minute | activity | license_plate |
| 83  | 2021 | 7     | 26  | 10   | 32     | entrance | 878Z799       |
| 84  | 2021 | 7     | 26  | 10   | 33     | entrance | IH61GO8       |
| 85  | 2021 | 7     | 26  | 10   | 34     | entrance | TWA51P1       |
| 86  | 2021 | 7     | 26  | 10   | 35     | entrance | C3S4W87       |
| 87  | 2021 | 7     | 26  | 10   | 44     | entrance | 0WZS77X       |
| 88  | 2021 | 7     | 26  | 11   | 4      | entrance | XE95071       |
| 89  | 2021 | 7     | 26  | 11   | 17     | entrance | HXA8903       |
| 90  | 2021 | 7     | 26  | 11   | 23     | entrance | 11J91FW       |
| 91  | 2021 | 7     | 26  | 11   | 24     | entrance | 5CIO816       |
| 92  | 2021 | 7     | 26  | 11   | 26     | entrance | NA31S0K       |
| 93  | 2021 | 7     | 26  | 11   | 26     | entrance | HN8I106       |
| 94  | 2021 | 7     | 26  | 11   | 59     | entrance | ET017P4       |
| 95  | 2021 | 7     | 26  | 12   | 7      | entrance | JUP02H1       |
| 96  | 2021 | 7     | 26  | 12   | 23     | entrance | O784M2U       |
| 97  | 2021 | 7     | 26  | 12   | 25     | entrance | X4G3938       |
| 98  | 2021 | 7     | 26  | 12   | 33     | entrance | 6866W0M       |
| 99  | 2021 | 7     | 26  | 13   | 0      | entrance | P72XP87       |
| 100 | 2021 | 7     | 26  | 13   | 1      | entrance | 3JC5R39       |
| 101 | 2021 | 7     | 26  | 13   | 22     | entrance | 47592FJ       |
| 102 | 2021 | 7     | 26  | 13   | 23     | entrance | 88CEO92       |
| 103 | 2021 | 7     | 26  | 13   | 32     | entrance | 31GVT84       |
| 104 | 2021 | 7     | 26  | 13   | 47     | entrance | B49OR81       |
| 105 | 2021 | 7     | 26  | 13   | 56     | entrance | 2HB7G9N       |
| 106 | 2021 | 7     | 26  | 13   | 57     | entrance | NAW9653       |
| 107 | 2021 | 7     | 26  | 14   | 7      | exit     | 0WZS77X       |
| 108 | 2021 | 7     | 26  | 14   | 17     | exit     | 5CIO816       |
| 109 | 2021 | 7     | 26  | 14   | 23     | exit     | 88CEO92       |
| 110 | 2021 | 7     | 26  | 14   | 31     | exit     | 3JC5R39       |
| 111 | 2021 | 7     | 26  | 14   | 36     | exit     | 31GVT84       |
| 112 | 2021 | 7     | 26  | 14   | 36     | exit     | C3S4W87       |
| 113 | 2021 | 7     | 26  | 14   | 49     | exit     | 9Y0JT4U       |
| 114 | 2021 | 7     | 26  | 14   | 49     | exit     | P45A66L       |
| 115 | 2021 | 7     | 26  | 14   | 57     | exit     | HN8I106       |
| 116 | 2021 | 7     | 26  | 14   | 59     | exit     | ET017P4       |
| 117 | 2021 | 7     | 26  | 15   | 2      | exit     | PF37ZVK       |
| 118 | 2021 | 7     | 26  | 15   | 11     | exit     | 2M2Y681       |
| 119 | 2021 | 7     | 26  | 15   | 23     | exit     | NA31S0K       |
| 120 | 2021 | 7     | 26  | 15   | 27     | exit     | P72XP87       |
| 121 | 2021 | 7     | 26  | 15   | 30     | exit     | 2HB7G9N       |
| 122 | 2021 | 7     | 26  | 15   | 50     | exit     | 0R0FW39       |
| 123 | 2021 | 7     | 26  | 15   | 51     | exit     | HXA8903       |
| 124 | 2021 | 7     | 26  | 16   | 7      | exit     | 5209A97       |
| 125 | 2021 | 7     | 26  | 16   | 8      | exit     | IH61GO8       |
| 126 | 2021 | 7     | 26  | 16   | 16     | exit     | 7Z8B130       |
| 127 | 2021 | 7     | 26  | 16   | 16     | exit     | 11J91FW       |
| 128 | 2021 | 7     | 26  | 16   | 21     | exit     | XE95071       |
| 129 | 2021 | 7     | 26  | 16   | 33     | exit     | 2BDU20B       |
| 130 | 2021 | 7     | 26  | 16   | 51     | exit     | O784M2U       |
| 131 | 2021 | 7     | 26  | 16   | 53     | exit     | 3899SY4       |
| 132 | 2021 | 7     | 26  | 17   | 2      | exit     | 1FW4EUJ       |
| 133 | 2021 | 7     | 26  | 17   | 7      | exit     | 5840J5X       |
| 134 | 2021 | 7     | 26  | 17   | 26     | exit     | X273ZK9       |
| 135 | 2021 | 7     | 26  | 17   | 27     | exit     | 47592FJ       |
| 136 | 2021 | 7     | 26  | 17   | 44     | exit     | X4G3938       |
| 137 | 2021 | 7     | 26  | 17   | 44     | exit     | JUP02H1       |
| 138 | 2021 | 7     | 26  | 17   | 44     | exit     | KGG82IR       |
| 139 | 2021 | 7     | 26  | 17   | 46     | exit     | 8LLB02B       |
| 140 | 2021 | 7     | 26  | 17   | 51     | exit     | 30G67EN       |
| 141 | 2021 | 7     | 26  | 18   | 3      | exit     | TWA51P1       |
| 142 | 2021 | 7     | 26  | 18   | 14     | exit     | NAW9653       |
| 143 | 2021 | 7     | 26  | 18   | 15     | exit     | 6866W0M       |
| 144 | 2021 | 7     | 26  | 18   | 19     | exit     | 7T807V5       |
| 145 | 2021 | 7     | 26  | 18   | 19     | exit     | N507616       |
| 146 | 2021 | 7     | 26  | 18   | 21     | exit     | B49OR81       |
| 147 | 2021 | 7     | 26  | 18   | 26     | exit     | 878Z799       |
| 148 | 2021 | 7     | 26  | 18   | 31     | exit     | N7M42GP       |
| 149 | 2021 | 7     | 27  | 8    | 8      | entrance | L605IHS       |
| 150 | 2021 | 7     | 27  | 8    | 19     | entrance | 3N39WQN       |
| 151 | 2021 | 7     | 27  | 8    | 20     | entrance | EH6V12Q       |
| 152 | 2021 | 7     | 27  | 8    | 25     | entrance | IH61GO8       |
| 153 | 2021 | 7     | 27  | 8    | 38     | entrance | I8S932C       |
| 154 | 2021 | 7     | 27  | 9    | 9      | entrance | X4G3938       |
| 155 | 2021 | 7     | 27  | 9    | 9      | entrance | P14PE2Q       |
| 156 | 2021 | 7     | 27  | 9    | 17     | entrance | X8T96JM       |
| 157 | 2021 | 7     | 27  | 9    | 18     | entrance | V47T75I       |
| 158 | 2021 | 7     | 27  | 9    | 29     | entrance | HW0488P       |
| 159 | 2021 | 7     | 27  | 9    | 42     | entrance | 1K44SN8       |
| 160 | 2021 | 7     | 27  | 9    | 42     | entrance | JUP02H1       |
| 161 | 2021 | 7     | 27  | 10   | 9      | entrance | 1FW4EUJ       |
| 162 | 2021 | 7     | 27  | 10   | 20     | entrance | Y340743       |
| 163 | 2021 | 7     | 27  | 10   | 26     | entrance | 24X1AQM       |
| 164 | 2021 | 7     | 27  | 10   | 30     | entrance | 47KK91C       |
| 165 | 2021 | 7     | 27  | 10   | 35     | entrance | 11WB3I6       |
| 166 | 2021 | 7     | 27  | 10   | 41     | entrance | 4406M71       |
| 167 | 2021 | 7     | 27  | 10   | 42     | entrance | 4963D92       |
| 168 | 2021 | 7     | 27  | 10   | 54     | entrance | 20Q418R       |
| 169 | 2021 | 7     | 27  | 11   | 11     | entrance | 13FNH73       |
| 170 | 2021 | 7     | 27  | 11   | 26     | entrance | O7JQ1SA       |
| 171 | 2021 | 7     | 27  | 11   | 31     | entrance | 94MV71O       |
| 172 | 2021 | 7     | 27  | 11   | 31     | entrance | 5209A97       |
| 173 | 2021 | 7     | 27  | 11   | 43     | entrance | 7627B71       |
| 174 | 2021 | 7     | 27  | 11   | 49     | entrance | FA63H32       |
| 175 | 2021 | 7     | 27  | 12   | 5      | entrance | 8BB36NX       |
| 176 | 2021 | 7     | 27  | 12   | 7      | entrance | O010420       |
| 177 | 2021 | 7     | 27  | 12   | 7      | entrance | 8P9NEU9       |
| 178 | 2021 | 7     | 27  | 12   | 15     | entrance | P72XP87       |
| 179 | 2021 | 7     | 27  | 12   | 17     | entrance | 2001OV9       |
| 180 | 2021 | 7     | 27  | 12   | 28     | entrance | L68E5I0       |
| 181 | 2021 | 7     | 27  | 12   | 31     | entrance | G3QW7I4       |
| 182 | 2021 | 7     | 27  | 12   | 32     | entrance | 245THL6       |
| 183 | 2021 | 7     | 27  | 12   | 42     | entrance | 31GVT84       |
| 184 | 2021 | 7     | 27  | 13   | 5      | exit     | 245THL6       |
| 185 | 2021 | 7     | 27  | 13   | 14     | exit     | 2001OV9       |
| 186 | 2021 | 7     | 27  | 13   | 23     | exit     | 1FW4EUJ       |
| 187 | 2021 | 7     | 27  | 13   | 25     | exit     | 13FNH73       |
| 188 | 2021 | 7     | 27  | 13   | 29     | exit     | 47KK91C       |
| 189 | 2021 | 7     | 27  | 13   | 31     | exit     | V47T75I       |
| 190 | 2021 | 7     | 27  | 13   | 38     | exit     | 20Q418R       |
| 191 | 2021 | 7     | 27  | 14   | 18     | exit     | G3QW7I4       |
| 192 | 2021 | 7     | 27  | 14   | 31     | exit     | 7627B71       |
| 193 | 2021 | 7     | 27  | 14   | 34     | exit     | EH6V12Q       |
| 194 | 2021 | 7     | 27  | 14   | 35     | exit     | Y340743       |
| 195 | 2021 | 7     | 27  | 14   | 43     | exit     | 3N39WQN       |
| 196 | 2021 | 7     | 27  | 14   | 48     | exit     | 4963D92       |
| 197 | 2021 | 7     | 27  | 14   | 48     | exit     | 31GVT84       |
| 198 | 2021 | 7     | 27  | 14   | 52     | exit     | I8S932C       |
| 199 | 2021 | 7     | 27  | 14   | 57     | exit     | X8T96JM       |
| 200 | 2021 | 7     | 27  | 15   | 15     | exit     | FA63H32       |
| 201 | 2021 | 7     | 27  | 15   | 59     | exit     | P14PE2Q       |
| 202 | 2021 | 7     | 27  | 16   | 5      | exit     | JUP02H1       |
| 203 | 2021 | 7     | 27  | 16   | 9      | exit     | HW0488P       |
| 204 | 2021 | 7     | 27  | 16   | 11     | exit     | 1K44SN8       |
| 205 | 2021 | 7     | 27  | 16   | 20     | exit     | L605IHS       |
| 206 | 2021 | 7     | 27  | 16   | 25     | exit     | 24X1AQM       |
| 207 | 2021 | 7     | 27  | 16   | 36     | exit     | X4G3938       |
| 208 | 2021 | 7     | 27  | 17   | 4      | exit     | 11WB3I6       |
| 209 | 2021 | 7     | 27  | 17   | 25     | exit     | O010420       |
| 210 | 2021 | 7     | 27  | 17   | 36     | exit     | 5209A97       |
| 211 | 2021 | 7     | 27  | 17   | 38     | exit     | P72XP87       |
| 212 | 2021 | 7     | 27  | 17   | 39     | exit     | 8BB36NX       |
| 213 | 2021 | 7     | 27  | 18   | 3      | exit     | O7JQ1SA       |
| 214 | 2021 | 7     | 27  | 18   | 11     | exit     | 94MV71O       |
| 215 | 2021 | 7     | 27  | 18   | 13     | exit     | 4406M71       |
| 216 | 2021 | 7     | 27  | 18   | 31     | exit     | IH61GO8       |
| 217 | 2021 | 7     | 27  | 18   | 36     | exit     | L68E5I0       |
| 218 | 2021 | 7     | 27  | 18   | 51     | exit     | 8P9NEU9       |
| 219 | 2021 | 7     | 28  | 8    | 2      | entrance | 1M92998       |
| 220 | 2021 | 7     | 28  | 8    | 2      | entrance | N507616       |
| 221 | 2021 | 7     | 28  | 8    | 2      | exit     | 1M92998       |
| 222 | 2021 | 7     | 28  | 8    | 2      | exit     | N507616       |
| 223 | 2021 | 7     | 28  | 8    | 7      | entrance | 7Z8B130       |
| 224 | 2021 | 7     | 28  | 8    | 7      | exit     | 7Z8B130       |
| 225 | 2021 | 7     | 28  | 8    | 13     | entrance | 47MEFVA       |
| 226 | 2021 | 7     | 28  | 8    | 13     | exit     | 47MEFVA       |
| 227 | 2021 | 7     | 28  | 8    | 15     | entrance | D965M59       |
| 228 | 2021 | 7     | 28  | 8    | 15     | entrance | HW0488P       |
| 229 | 2021 | 7     | 28  | 8    | 15     | exit     | D965M59       |
| 230 | 2021 | 7     | 28  | 8    | 15     | exit     | HW0488P       |
| 231 | 2021 | 7     | 28  | 8    | 18     | entrance | L93JTIZ       |
| 232 | 2021 | 7     | 28  | 8    | 23     | entrance | 94KL13X       |
| 233 | 2021 | 7     | 28  | 8    | 25     | entrance | L68E5I0       |
| 234 | 2021 | 7     | 28  | 8    | 25     | entrance | HOD8639       |
| 235 | 2021 | 7     | 28  | 8    | 25     | exit     | HOD8639       |
| 236 | 2021 | 7     | 28  | 8    | 34     | exit     | L68E5I0       |
| 237 | 2021 | 7     | 28  | 8    | 34     | entrance | 1106N58       |
| 238 | 2021 | 7     | 28  | 8    | 34     | entrance | W2CT78U       |
| 239 | 2021 | 7     | 28  | 8    | 34     | exit     | W2CT78U       |
| 240 | 2021 | 7     | 28  | 8    | 36     | entrance | 322W7JE       |
| 241 | 2021 | 7     | 28  | 8    | 38     | entrance | 3933NUH       |
| 242 | 2021 | 7     | 28  | 8    | 38     | exit     | 3933NUH       |
| 243 | 2021 | 7     | 28  | 8    | 42     | entrance | 0NTHK55       |
| 244 | 2021 | 7     | 28  | 8    | 44     | entrance | 1FBL6TH       |
| 245 | 2021 | 7     | 28  | 8    | 44     | exit     | 1FBL6TH       |
| 246 | 2021 | 7     | 28  | 8    | 49     | entrance | P14PE2Q       |
| 247 | 2021 | 7     | 28  | 8    | 49     | exit     | P14PE2Q       |
| 248 | 2021 | 7     | 28  | 8    | 50     | entrance | 4V16VO0       |
| 249 | 2021 | 7     | 28  | 8    | 50     | exit     | 4V16VO0       |
| 250 | 2021 | 7     | 28  | 8    | 57     | entrance | 8LLB02B       |
| 251 | 2021 | 7     | 28  | 8    | 57     | exit     | 8LLB02B       |
| 252 | 2021 | 7     | 28  | 8    | 59     | entrance | O784M2U       |
| 253 | 2021 | 7     | 28  | 8    | 59     | exit     | O784M2U       |
| 254 | 2021 | 7     | 28  | 9    | 14     | entrance | 4328GD8       |
| 255 | 2021 | 7     | 28  | 9    | 15     | entrance | 5P2BI95       |
| 256 | 2021 | 7     | 28  | 9    | 20     | entrance | 6P58WS2       |
| 257 | 2021 | 7     | 28  | 9    | 28     | entrance | G412CB7       |
| 258 | 2021 | 7     | 28  | 10   | 8      | entrance | R3G7486       |
| 259 | 2021 | 7     | 28  | 10   | 14     | entrance | 13FNH73       |
| 260 | 2021 | 7     | 28  | 10   | 16     | exit     | 5P2BI95       |
| 261 | 2021 | 7     | 28  | 10   | 18     | exit     | 94KL13X       |
| 262 | 2021 | 7     | 28  | 10   | 18     | exit     | 6P58WS2       |
| 263 | 2021 | 7     | 28  | 10   | 19     | exit     | 4328GD8       |
| 264 | 2021 | 7     | 28  | 10   | 20     | exit     | G412CB7       |
| 265 | 2021 | 7     | 28  | 10   | 21     | exit     | L93JTIZ       |
| 266 | 2021 | 7     | 28  | 10   | 23     | exit     | 322W7JE       |
| 267 | 2021 | 7     | 28  | 10   | 23     | exit     | 0NTHK55       |
| 268 | 2021 | 7     | 28  | 10   | 35     | exit     | 1106N58       |
| 269 | 2021 | 7     | 28  | 10   | 42     | entrance | NRYN856       |
| 270 | 2021 | 7     | 28  | 10   | 44     | entrance | WD5M8I6       |
| 271 | 2021 | 7     | 28  | 10   | 55     | entrance | V47T75I       |
| 272 | 2021 | 7     | 28  | 11   | 6      | entrance | 4963D92       |
| 273 | 2021 | 7     | 28  | 11   | 13     | entrance | C194752       |
| 274 | 2021 | 7     | 28  | 11   | 52     | entrance | 94MV71O       |
| 275 | 2021 | 7     | 28  | 12   | 20     | entrance | FLFN3W0       |
| 276 | 2021 | 7     | 28  | 12   | 49     | entrance | 207W38T       |
| 277 | 2021 | 7     | 28  | 13   | 8      | entrance | RS7I6A0       |
| 278 | 2021 | 7     | 28  | 13   | 30     | entrance | 4468KVT       |
| 279 | 2021 | 7     | 28  | 13   | 42     | entrance | NAW9653       |
| 280 | 2021 | 7     | 28  | 14   | 18     | exit     | NAW9653       |
| 281 | 2021 | 7     | 28  | 15   | 6      | exit     | RS7I6A0       |
| 282 | 2021 | 7     | 28  | 15   | 16     | exit     | 94MV71O       |
| 283 | 2021 | 7     | 28  | 16   | 6      | exit     | WD5M8I6       |
| 284 | 2021 | 7     | 28  | 16   | 38     | exit     | 4468KVT       |
| 285 | 2021 | 7     | 28  | 16   | 42     | exit     | 207W38T       |
| 286 | 2021 | 7     | 28  | 16   | 47     | exit     | C194752       |
| 287 | 2021 | 7     | 28  | 17   | 11     | exit     | NRYN856       |
| 288 | 2021 | 7     | 28  | 17   | 15     | exit     | 13FNH73       |
| 289 | 2021 | 7     | 28  | 17   | 16     | exit     | V47T75I       |
| 290 | 2021 | 7     | 28  | 17   | 18     | exit     | R3G7486       |
| 291 | 2021 | 7     | 28  | 17   | 36     | exit     | FLFN3W0       |
| 292 | 2021 | 7     | 28  | 17   | 47     | exit     | 4963D92       |
| 293 | 2021 | 7     | 29  | 8    | 0      | entrance | 2HB7G9N       |
| 294 | 2021 | 7     | 29  | 8    | 12     | entrance | B3VSJVF       |
| 295 | 2021 | 7     | 29  | 8    | 22     | entrance | IH61GO8       |
| 296 | 2021 | 7     | 29  | 8    | 31     | entrance | 8BB36NX       |
| 297 | 2021 | 7     | 29  | 8    | 41     | entrance | C4559Y9       |
| 298 | 2021 | 7     | 29  | 8    | 42     | entrance | 2001OV9       |
| 299 | 2021 | 7     | 29  | 8    | 43     | entrance | GW362R6       |
| 300 | 2021 | 7     | 29  | 8    | 51     | entrance | 106OW2W       |
| 301 | 2021 | 7     | 29  | 9    | 1      | entrance | 97O6H62       |
| 302 | 2021 | 7     | 29  | 9    | 24     | entrance | 878Z799       |
| 303 | 2021 | 7     | 29  | 9    | 37     | entrance | P45A66L       |
| 304 | 2021 | 7     | 29  | 9    | 46     | entrance | DVS39US       |
| 305 | 2021 | 7     | 29  | 9    | 55     | entrance | 1FBL6TH       |
| 306 | 2021 | 7     | 29  | 10   | 11     | entrance | FQUFJ16       |
| 307 | 2021 | 7     | 29  | 10   | 52     | entrance | 64I1286       |
| 308 | 2021 | 7     | 29  | 10   | 55     | entrance | WR2G758       |
| 309 | 2021 | 7     | 29  | 11   | 18     | entrance | 4963D92       |
| 310 | 2021 | 7     | 29  | 11   | 20     | entrance | S5EI3B0       |
| 311 | 2021 | 7     | 29  | 11   | 28     | entrance | 594IBK6       |
| 312 | 2021 | 7     | 29  | 11   | 44     | entrance | Y18DLY3       |
| 313 | 2021 | 7     | 29  | 12   | 8      | entrance | 81MNC9R       |
| 314 | 2021 | 7     | 29  | 12   | 13     | entrance | 24X1AQM       |
| 315 | 2021 | 7     | 29  | 12   | 17     | entrance | DN6Z7FH       |
| 316 | 2021 | 7     | 29  | 12   | 19     | entrance | Q13SVG6       |
| 317 | 2021 | 7     | 29  | 12   | 33     | entrance | L476K20       |
| 318 | 2021 | 7     | 29  | 12   | 37     | entrance | 8X428L0       |
| 319 | 2021 | 7     | 29  | 12   | 41     | entrance | X4G3938       |
| 320 | 2021 | 7     | 29  | 12   | 49     | entrance | 13FNH73       |
| 321 | 2021 | 7     | 29  | 13   | 3      | exit     | 8X428L0       |
| 322 | 2021 | 7     | 29  | 13   | 6      | exit     | P45A66L       |
| 323 | 2021 | 7     | 29  | 13   | 8      | exit     | 1FBL6TH       |
| 324 | 2021 | 7     | 29  | 13   | 11     | exit     | Y18DLY3       |
| 325 | 2021 | 7     | 29  | 13   | 33     | exit     | X4G3938       |
| 326 | 2021 | 7     | 29  | 14   | 9      | exit     | 2HB7G9N       |
| 327 | 2021 | 7     | 29  | 14   | 32     | exit     | C4559Y9       |
| 328 | 2021 | 7     | 29  | 15   | 5      | exit     | 97O6H62       |
| 329 | 2021 | 7     | 29  | 15   | 14     | exit     | 878Z799       |
| 330 | 2021 | 7     | 29  | 15   | 36     | exit     | 594IBK6       |
| 331 | 2021 | 7     | 29  | 15   | 43     | exit     | 4963D92       |
| 332 | 2021 | 7     | 29  | 15   | 54     | exit     | 106OW2W       |
| 333 | 2021 | 7     | 29  | 15   | 55     | exit     | 8BB36NX       |
| 334 | 2021 | 7     | 29  | 16   | 18     | exit     | S5EI3B0       |
| 335 | 2021 | 7     | 29  | 16   | 20     | exit     | 13FNH73       |
| 336 | 2021 | 7     | 29  | 16   | 29     | exit     | DN6Z7FH       |
| 337 | 2021 | 7     | 29  | 16   | 52     | exit     | WR2G758       |
| 338 | 2021 | 7     | 29  | 17   | 25     | exit     | DVS39US       |
| 339 | 2021 | 7     | 29  | 17   | 26     | exit     | 64I1286       |
| 340 | 2021 | 7     | 29  | 17   | 36     | exit     | L476K20       |
| 341 | 2021 | 7     | 29  | 17   | 43     | exit     | Q13SVG6       |
| 342 | 2021 | 7     | 29  | 17   | 58     | exit     | FQUFJ16       |
| 343 | 2021 | 7     | 29  | 18   | 7      | exit     | 2001OV9       |
| 344 | 2021 | 7     | 29  | 18   | 27     | exit     | GW362R6       |
| 345 | 2021 | 7     | 29  | 18   | 33     | exit     | 81MNC9R       |
| 346 | 2021 | 7     | 29  | 18   | 34     | exit     | 24X1AQM       |
| 347 | 2021 | 7     | 29  | 18   | 38     | exit     | IH61GO8       |
| 348 | 2021 | 7     | 29  | 18   | 54     | exit     | B3VSJVF       |
| 349 | 2021 | 7     | 30  | 8    | 6      | entrance | HN8I106       |
| 350 | 2021 | 7     | 30  | 8    | 10     | entrance | 594IBK6       |
| 351 | 2021 | 7     | 30  | 8    | 12     | entrance | O7JQ1SA       |
| 352 | 2021 | 7     | 30  | 8    | 33     | entrance | R3G7486       |
| 353 | 2021 | 7     | 30  | 8    | 45     | entrance | L68E5I0       |
| 354 | 2021 | 7     | 30  | 8    | 50     | entrance | 84869TJ       |
| 355 | 2021 | 7     | 30  | 8    | 50     | entrance | PF37ZVK       |
| 356 | 2021 | 7     | 30  | 8    | 53     | entrance | 47592FJ       |
